Time,Subsystem_1_CTLs_Vars_Ef_CHP,Subsystem_1_CTLs_Vars_Tmech_pu_CHP,Subsystem_1_CTLs_Vars_w_CHP_pu,Subsystem_1_Machines_CHP_CHPexcmon,Tele
0.1059,3.052309669,0.8292312957,1.002802588,3.960429854,0.858509059703199
0.10595,3.052804473,0.8291637319,1.002800598,3.956441741,0.856721401732556
0.106,3.053298779,0.829096102,1.002798731,3.952440979,0.854947547575157
0.10605,3.053792583,0.8290284032,1.002796991,3.94842765,0.853118134351072
0.1061,3.054285885,0.8289606322,1.002795377,3.944401837,0.851302518792309
0.10615,3.054778683,0.8288927864,1.002793891,3.940363622,0.849459082252163
0.1062,3.055270975,0.8288248626,1.002792534,3.936313088,0.847601693524024
0.10625,3.05576276,0.8287568581,1.002791308,3.932250314,0.845716477863521
0.1063,3.056254037,0.8286887699,1.002790213,3.928175381,0.843831176279088
0.10635,3.056744803,0.8286205953,1.002789251,3.92408837,0.841918042031368
0.1064,3.057235058,0.8285523315,1.002788423,3.919989361,0.839990944310656
0.10645,3.0577248,0.8284839757,1.002787729,3.915878433,0.838063752305781
0.1065,3.058214027,0.8284155252,1.00278717,3.911755665,0.836122591310924
0.10655,3.058702738,0.8283469775,1.002786748,3.907621136,0.834153586784768
0.1066,3.059190931,0.8282783298,1.002786463,3.903474924,0.832184479926535
0.10665,3.059678606,0.8282095797,1.002786315,3.899317108,0.83021526834546
0.1067,3.06016576,0.8281407247,1.002786306,3.895147767,0.828218205499089
0.10675,3.060652392,0.8280717623,1.002786436,3.890966976,0.826221032886639
0.1068,3.061138501,0.8280026901,1.002786705,3.886774815,0.82422374811735
0.10685,3.061624085,0.8279335057,1.002787114,3.88257136,0.82221247676075
0.1069,3.062109143,0.827864207,1.002787664,3.878356688,0.820187216712165
0.10695,3.062593674,0.8277947916,1.002788354,3.874130875,0.818175709581649
0.107,3.063077675,0.8277252573,1.002789185,3.869893998,0.816150209156061
0.10705,3.063561146,0.8276556019,1.002790158,3.865646132,0.814110713212251
0.1071,3.064044086,0.8275858234,1.002791272,3.861387353,0.812084963775662
0.10715,3.064526493,0.8275159197,1.002792528,3.857117735,0.810045214723928
0.1072,3.065008365,0.8274458887,1.002793925,3.852837354,0.808019207976348
0.10725,3.065489701,0.8273757285,1.002795464,3.848546282,0.805979197610529
0.1073,3.065970501,0.827305437,1.002797146,3.844244594,0.803925181518734
0.10735,3.066450762,0.8272350126,1.002798969,3.839932363,0.801898774126062
0.1074,3.066930483,0.8271644532,1.002800934,3.835609662,0.799858357324409
0.10745,3.067409664,0.8270937571,1.00280304,3.831276563,0.797831673417671
0.1075,3.067888302,0.8270229226,1.002805288,3.826933139,0.79579097670501
0.10755,3.068366396,0.826951948,1.002807677,3.822579462,0.793764009490353
