"Time","Subsystem #1|CTLs|Vars|Isderr8","Subsystem #1|CTLs|Vars|Isdrefongrid8","Subsystem #1|CTLs|Vars|PrefPV","Subsystem #1|CTLs|Vars|VDCerr","Subsystem #1|CTLs|Vars|udA8"
0.01215,-0.1850810863,0.822499818,0.3827939249,0.1082804891,-0.005050368827
0.0122,-0.1762755335,0.8289437068,0.3857929304,0.1132234555,-0.004834746961
0.01225,-0.1674992869,0.8354553821,0.3888234839,0.1182165179,-0.004619637979
0.0123,-0.1587552959,0.8420315889,0.3918840706,0.1232571271,-0.004405116382
0.01235,-0.1500467938,0.8486692291,0.3949732486,0.1283428569,-0.004191263854
0.0124,-0.1413763541,0.8553653542,0.3980896457,0.1334713982,-0.003978145646
0.01245,-0.1327467946,0.8621171574,0.4012319555,0.138640553,-0.003765833195
0.0125,-0.1241603504,0.868921967,0.4043989346,0.1438482292,-0.003554383426
0.01255,-0.1156194662,0.87577724,0.4075893996,0.1490924354,-0.003343858566
0.0126,-0.1071260731,0.8826805553,0.4108022236,0.154371276,-0.003134308054
0.01265,-0.09868228078,0.8896296084,0.4140363341,0.1596829464,-0.002925785847
0.0127,-0.09028974688,0.896622205,0.4172907099,0.1650257287,-0.002718334647
0.01275,-0.0819502809,0.9036562562,0.4205643788,0.1703979874,-0.002512000995
0.0128,-0.07366529491,0.910729773,0.4238564151,0.1757981653,-0.002306821536
0.01285,-0.06543632929,0.9178408617,0.4271659375,0.18122478,-0.002102836163
0.0129,-0.05726457579,0.9249877189,0.4304921067,0.1866764197,-0.001900076084
0.01295,-0.04915133387,0.9321686276,0.4338341234,0.1921517405,-0.001698575232
0.013,-0.04109759772,0.9393819524,0.4371912268,0.1976494622,-0.001498359937
0.01305,-0.03310445136,0.9466261359,0.4405626919,0.2031683661,-0.001299458801
0.0131,-0.02517271203,0.9538996949,0.4439478285,0.2087072912,-0.001101893779
0.01315,-0.01730327128,0.9612012166,0.4473459789,0.214265132,-9.05688707E-4
0.0132,-0.009496788055,0.9685293551,0.450756517,0.2198408353,-7.108616241E-4
0.01325,-0.001753982233,0.9758828285,0.4541788459,0.2254333981,-5.174321103E-4
0.0133,0.005924628724,0.9832604153,0.4576123974,0.2310418648,-3.254147004E-4
0.01335,0.01353847785,0.9906609519,0.4610566296,0.2366653249,-1.348251806E-4
0.0134,0.02108717389,0.9980833293,0.4645110267,0.2423029111,5.432504379E-5
0.01345,0.02857028589,1.005526491,0.4679750968,0.2479537968,2.420235648E-4
0.0135,0.03598753499,1.012989429,0.4714483711,0.2536171944,4.282617679E-4
0.01355,0.043338611,1.020471185,0.4749304029,0.259292353,6.130302476E-4
0.0136,0.05062333497,1.027970842,0.4784207662,0.2649785573,7.963228741E-4
0.01365,0.05784150369,1.035487528,0.481919055,0.270675125,9.781329052E-4
0.0137,0.06499302685,1.043020412,0.485424882,0.2763814057,0.001158456419
0.01375,0.0720777958,1.050568699,0.4889378781,0.2820967793,0.00133728903
0.0138,0.07909579866,1.058131634,0.4924576908,0.2878206542,0.001514628774
0.01385,0.08604701015,1.065708493,0.4959839842,0.2935524664,0.001690473349
0.0139,0.0929314876,1.073298588,0.4995164377,0.2992916776,0.001864822519
0.01395,0.09974927903,1.080901262,0.5030547452,0.3050377742,0.002037675817
0.014,0.1065005026,1.088515886,0.5065986146,0.310790266,0.002209034532
0.01405,0.1131852707,1.096141862,0.5101477671,0.3165486852,0.002378899807
0.0141,0.1198037546,1.103778617,0.5137019363,0.3223125849,0.002547274272
0.01415,0.1263561229,1.111425605,0.5172608678,0.3280815386,0.002714160479
0.0142,0.1328425935,1.119082303,0.5208243184,0.3338551387,0.00287956223
0.01425,0.1392633834,1.126748213,0.524392056,0.3396329957,0.003043483305
0.0143,0.1456187512,1.134422856,0.5279638583,0.3454147375,0.003205928529
0.01435,0.151908956,1.142105776,0.531539513,0.351200008,0.003366902747
0.0144,0.1581342911,1.149796538,0.5351188169,0.3569884671,0.003526411669
0.01445,0.1642950519,1.157494722,0.5387015754,0.362779789,0.003684461058
0.0145,0.1703915618,1.16519993,0.5422876025,0.3685736622,0.003841057389
0.01455,0.1764241467,1.172911777,0.5458767198,0.3743697883,0.003996207211
0.0146,0.1823931556,1.180629897,0.5494687565,0.3801678815,0.004149917652
0.01465,0.1882989406,1.188353939,0.5530635489,0.385967668,0.00430219593
